Text Inputs : Specimen label,"2.165"
General : Start Date,1/28/2011 12:46 PM
General : End Date,1/28/2011 12:48 PM
Maximum Compressive load : Maximum Compressive load,9.57026,kgf
Maximum Compressive load : Compressive stress at Maximum Compressive load,1.00370,MPa

Time,Extension,Load
(sec),(mm),(N)
26.90000,-0.04486,-0.00130
27.00000,-0.04502,-0.00198
27.10000,-0.04519,0.00231
27.20000,-0.04535,-0.00083
27.30000,-0.04552,-0.00399
27.40000,-0.04569,-0.00241
27.50000,-0.04585,0.00115
27.60000,-0.04602,-0.00252
27.70000,-0.04618,-0.00121
27.80000,-0.04636,-0.00157
27.90000,-0.04652,-0.00209
28.00000,-0.04669,-0.00194
28.10000,-0.04686,-0.00057
28.20000,-0.04702,-0.00196
28.30000,-0.04719,0.00339
28.40000,-0.04735,0.00242
28.50000,-0.04752,-0.00005
28.60000,-0.04769,-0.00529
28.70000,-0.04785,-0.00258
28.80000,-0.04802,-0.00431
28.90000,-0.04818,-0.00235
29.00000,-0.04835,0.00145
29.10000,-0.04851,-0.00300
29.20000,-0.04869,0.00010
29.30000,-0.04885,-0.00107
29.40000,-0.04902,0.00069
29.50000,-0.04919,-0.00348
29.60000,-0.04935,-0.00151
29.70000,-0.04952,-0.00317
29.80000,-0.04968,0.00102
29.90000,-0.04986,-0.00152
30.00000,-0.05002,0.00038
30.10000,-0.05018,0.00051
30.20000,-0.05035,-0.00277
30.30000,-0.05052,-0.00099
30.40000,-0.05069,-0.00166
30.50000,-0.05085,-0.00387
30.60000,-0.05102,-0.00525
30.70000,-0.05119,-0.00379
30.80000,-0.05135,0.00174
30.90000,-0.05152,0.00234
31.00000,-0.05168,-0.00077
31.10000,-0.05185,-0.00012
31.20000,-0.05201,0.00069
31.30000,-0.05218,-0.00031
31.40000,-0.05235,-0.00045
31.50000,-0.05251,-0.00178
31.60000,-0.05269,-0.00123
31.70000,-0.05285,-0.00296
31.80000,-0.05302,0.00351
31.90000,-0.05319,-0.00458
32.00000,-0.05335,-0.00009
32.10000,-0.05352,-0.00363
32.20000,-0.05369,-0.00068
32.30000,-0.05386,-0.00385
32.40000,-0.05402,-0.00345
32.50000,-0.05418,0.00136
32.60000,-0.05435,0.00094
32.70000,-0.05451,0.00030
32.80000,-0.05469,0.00047
32.90000,-0.05485,0.00064
33.00000,-0.05502,-0.00077
33.10000,-0.05519,-0.00286
33.20000,-0.05536,-0.00179
33.30000,-0.05553,-0.00520
33.40000,-0.05569,0.00010
33.50000,-0.05586,0.00074
33.60000,-0.05602,-0.00034
33.70000,-0.05618,-0.00172
33.80000,-0.05635,-0.00300
33.90000,-0.05652,-0.00046
34.00000,-0.05669,0.00174
34.10000,-0.05685,-0.00101
34.20000,-0.05702,-0.00058
34.30000,-0.05719,0.00029
34.40000,-0.05735,-0.00079
34.50000,-0.05752,-0.00026
34.60000,-0.05769,-0.00427
34.70000,-0.05786,0.00090
