travel,force
0.01737136,8.402786255
0.017452899,8.434768677
0.0175373,8.466751099
0.017618362,8.498977661
0.017705623,8.530960083
0.017790023,8.563186646
0.017874423,8.595413208
0.017958824,8.627883911
0.018045608,8.660354614
0.018130008,8.693069458
0.018214408,8.725784302
0.01830167,8.758499146
0.018388931,8.791213989
0.018476192,8.823928833
0.018560115,8.856643677
0.018644515,8.889358521
0.018728916,8.921829224
0.018813316,8.954055786
0.018897239,8.986282349
0.018981639,9.018264771
0.019063178,9.050003052
0.019147579,9.081741333
0.019231502,9.113235474
0.019313041,9.144729614
0.019397441,9.175979614
0.019481365,9.207229614
0.019565765,9.238479614
0.019647304,9.269729614
0.019731704,9.301223755
0.019815627,9.332473755
0.019900028,9.363723755
0.019984428,9.395217896
0.020068828,9.426712036
0.02014989,9.457962036
0.020237152,9.489456177
0.020321552,9.520950317
0.020405952,9.552444458
0.020490352,9.583694458
0.020574275,9.615188599
0.020658676,9.646438599
0.020740215,9.677688599
0.020824138,9.708938599
0.020908538,9.740066528
0.020990077,9.771072388
0.021071617,9.802078247
0.02115554,9.832839966
0.021237079,9.863723755
0.021321479,9.894607544
0.021405879,9.925491333
0.021486942,9.956375122
0.021571342,9.987503052
0.021655742,10.01875305
0.021739665,10.05000305
0.021824066,10.08174133
0.021911327,10.11323547
0.021995727,10.1452179
0.022080127,10.17695618
0.022166912,10.20918274
0.022251312,10.24092102
0.022338573,10.27290344
0.022422973,10.30464172
0.022510234,10.33613586
0.022591297,10.36738586
0.022672836,10.39863586
0.022757236,10.42964172
0.022838298,10.46052551
0.022919837,10.49116516
0.023001377,10.52168274
0.023085777,10.55220032
0.023166839,10.5827179
0.023251239,10.6131134
0.023332778,10.64350891
0.023416702,10.67390442
0.023498241,10.70454407
0.02357978,10.73518372
0.02366418,10.76582336
0.023745243,10.79658508
0.023826782,10.82722473
0.023908321,10.85810852
0.023992244,10.88899231
0.024076644,10.91999817
0.024161045,10.95100403
0.024242107,10.98213196
0.024326507,11.01313782
0.024408046,11.04426575
0.024492446,11.07527161
0.024573509,11.1061554
0.024655048,11.13691711
0.024739448,11.16767883
0.02482051,11.19844055
0.024899188,11.22920227
0.024980728,11.26008606
0.02506179,11.29096985
0.02514619,11.32185364
0.02523059,11.3528595
0.025312129,11.38398743
0.025393192,11.41523743
0.025477592,11.44673157
0.025561992,11.47846985
0.025643054,11.51020813
0.025727455,11.54194641
0.025811855,11.57392883
0.025896255,11.60591125
0.025980178,11.63813782
0.026067439,11.67036438
0.026148979,11.70259094
0.02623624,11.7348175
0.02632064,11.76728821
0.026407424,11.79951477
0.026491825,11.83149719
0.026576225,11.86372375
0.026660625,11.8952179
0.026741687,11.92695618
